epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,225.217,0.43618,0.56059,0.33136,0.79962,0.95837,0.99324,0.99107,0.8952,0.95837,0.99324,0.99107,0.79809,0.47024,0.6863,0.37816,0.79837,0.0016238,0.0016238,0.0016238
40,231.403,0.41625,0.54577,0.31816,0.79776,0.96517,0.98472,0.99171,0.92257,0.96517,0.98472,0.99171,0.77808,0.40899,0.69308,0.35088,0.79149,0.0016139,0.0016139,0.0016139
41,237.752,0.39669,0.55696,0.30832,0.79078,0.96513,0.98351,0.99182,0.9202,0.96513,0.98351,0.99182,0.77996,0.40938,0.67483,0.33363,0.79192,0.001604,0.001604,0.001604
42,242.616,0.39772,0.53548,0.29862,0.78845,0.96518,0.98731,0.99123,0.89778,0.96518,0.98731,0.99123,0.80811,0.49086,0.69252,0.35332,0.80125,0.0015941,0.0015941,0.0015941
43,248.526,0.3914,0.54042,0.30656,0.79305,0.96777,0.98604,0.99049,0.90357,0.96777,0.98604,0.99049,0.79153,0.44843,0.69129,0.35824,0.7985,0.0015842,0.0015842,0.0015842
44,253.696,0.4005,0.53239,0.30262,0.79277,0.96259,0.98985,0.991,0.91873,0.96259,0.98985,0.991,0.77656,0.4293,0.69075,0.34207,0.79569,0.0015743,0.0015743,0.0015743
45,259.324,0.39047,0.54709,0.29225,0.79273,0.9629,0.98814,0.99089,0.90478,0.9629,0.98814,0.99089,0.80084,0.45488,0.66675,0.34095,0.79779,0.0015644,0.0015644,0.0015644
46,265.331,0.3935,0.52757,0.28533,0.78689,0.96398,0.98499,0.99134,0.91585,0.96398,0.98499,0.99134,0.78387,0.42053,0.68795,0.34079,0.79555,0.0015545,0.0015545,0.0015545
47,270.461,0.40614,0.52606,0.29104,0.79354,0.96752,0.98271,0.99218,0.90785,0.96752,0.98271,0.99218,0.77304,0.44585,0.6648,0.33626,0.79696,0.0015446,0.0015446,0.0015446
48,276.164,0.40085,0.5149,0.28989,0.78815,0.96127,0.98731,0.99217,0.91392,0.96127,0.98731,0.99217,0.78919,0.42954,0.65352,0.32688,0.79571,0.0015347,0.0015347,0.0015347
49,282.455,0.37791,0.51112,0.28708,0.78937,0.96161,0.98546,0.9924,0.92289,0.96161,0.98546,0.9924,0.79712,0.41161,0.66031,0.3169,0.79487,0.0015248,0.0015248,0.0015248
50,287.262,0.37363,0.50709,0.27731,0.78749,0.9617,0.98783,0.99246,0.92784,0.9617,0.98783,0.99246,0.78002,0.38589,0.64489,0.31264,0.79107,0.0015149,0.0015149,0.0015149
51,293.086,0.37326,0.50076,0.27245,0.7873,0.95673,0.99365,0.99185,0.91049,0.95673,0.99365,0.99185,0.78813,0.46214,0.6504,0.32243,0.79818,0.001505,0.001505,0.001505
52,298.347,0.3602,0.48768,0.27214,0.78572,0.95486,0.99335,0.9914,0.91693,0.95486,0.99335,0.9914,0.77665,0.42639,0.65033,0.31347,0.79638,0.0014951,0.0014951,0.0014951
53,304.028,0.4326,0.52138,0.29168,0.79727,0.95879,0.98858,0.99147,0.92094,0.95879,0.98858,0.99147,0.78768,0.41121,0.64557,0.32325,0.79459,0.0014852,0.0014852,0.0014852
